"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aruba","ABW","6.92","6.9","","","","","","5.71","","","10.6","8.9","","","","","","","","",""
"Africa Eastern and Southern","AFE","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","AFG","","","","","","","","","2.49","","","","1.69","","7.91","","","11.18","","","11.71"
"Africa Western and Central","AFW","","","","","","","","","","","","","","","4.3738096275078","","","7.0956945614696","","",""
"Angola","AGO","","","","","23.64","","","","","3.78","9.43","7.36","","","9.58","","","","","",""
"Albania","ALB","16.8","16.4","15.8","15","14.4","14.1","13.8","15.97","13.06","13.67","14.09","13.48","13.38","15.87","18.05","17.19","15.42","13.62","12.3","11.47",""
"Andorra","AND","","","","","","","","","","","","","","","","","","","","",""
"Arab World","ARB","","","","","","","10.311856609931","9.6647155301387","9.9289987313204","9.5130947102888","9.2282015124694","11.16619223568","10.571152162093","","10.507138122996","","9.5610197800809","","","",""
"United Arab Emirates","ARE","2.25","","","","","3.12","","","","","","","","","","","1.64","2.46","","2.23",""
"Argentina","ARG","15","17.32","19.59","15.36","13.52","11.51","10.08","8.47","7.84","8.65","7.71","7.18","7.22","7.1","7.27","","","8.35","9.22","9.84",""
"Armenia","ARM","","","","","","","","9.81","22.97","18.44","19.01","18.44","17.3","16.18","17.5","18.26","17.62","17.7","18.97","18.3",""
"American Samoa","ASM","5.05","","","","","9.98","","","","","9.2","","","","","","","","","",""
"Antigua and Barbuda","ATG","","8.42","","","","","","","","","","","","","","","","","","",""
"Australia","AUS","6.28","6.74","6.37","5.93","5.39","5.03","4.78","4.38","4.23","5.56","5.21","5.08","5.22","5.66","6.08","6.05","5.71","5.59","5.3","5.16","6.46"
"Austria","AUT","4.69","4.01","4.85","4.78","5.83","5.63","5.24","4.86","4.13","5.3","4.82","4.56","4.87","5.33","5.62","5.72","6.01","5.5","4.85","4.49","5.36"
